term,df,SumOfSqs,R2,statistic,p.value
cage,14,10.786180950866061,0.4323099157719936,3.8042932601857076,0.001
age,1,4.645540461857337,0.18619316836323602,22.9387933405315,0.001
Residual,47,9.518390896416516,0.38149691586477,NA,NA
Total,62,24.95011230913992,1,NA,NA
